Name: Beginner,Description: Beginner,Image Path: Beginner,
Conqueror Breath,"""Ujjayi is especially known for the soft hissing sound the breather makes by directing her inhales and exhales over the back of her throat. To learn how, try this.\n"" + ""Inhale through your nose, then exhale slowly through a wide-open mouth. Direct the out-going breath slowly across the back of your throat with a drawn-out HA sound. Repeat several times, then close your mouth. Now, as you both inhale and exhale through your nose, direct the breath again slowly across the back of your throat. Ideally, this will create, and you should hear, a soft hissing sound\n"" + ""This sound, called ajapa mantra (pronounced ah-JOP-ah mahn-trah, the “unspoken mantra”), serves three purposes: it helps to slow the breath down (which is exactly what we want for Ujjayi), to focus awareness on the breath and prevent your min “wandering,” and to regulate, by continually monitoring and adjusting the evenness of the sound, the smooth flow of breath (another important element of Ujjayi)."" + ""Start with 5 to 8 minutes of practice, gradually increase your time to 10 to 15 minutes. When finished return to normal breathing for a minute or two, then lie down in Shavasana (Corpse Pose) for a few minutes.\n"" + ""Ujjayi is the foundation of many other techniques listed on this site; e.g., ratio breathing, svara yoga, digital pranayama, retention along with the two bandhas. Note that Ajapa Mantra isn’t used when performing digital pranayama.""",image/poseBeginning/conquerorBreath.jpg,
Easy Pose,"""Fold a thick blanket or two into a firm support about six inches high. Sit close to one edge of this support and stretch your legs out in front of your torso on the floor in Dandasana (Staff Pose).\n"" + ""Cross your shins, widen your knees, and slip each foot beneath the opposite knee as you bend your knees and fold the legs in toward your torso.\n"" + ""Relax the feet so their outer edges rest comfortably on the floor and the inner arches settle just below the opposite shin. You’ll know you have the basic leg fold of Sukhasana when you look down and see a triangle, its three sides formed by the two thighs and the crossed shins. Don’t confuse this position with that of other classic seated postures in which the ankles are tucked in close to the sitting bones. In Sukhasana, there should be a comfortable gap between the feet and the pelvis.\n"" + ""As always, you should sit with your pelvis in a relatively neutral position. To find neutral, press your hands against the floor and lift your sitting bones slightly off the support. As you hang there for a few breaths, make your thigh bones heavy, then slowly lower your sit bones lightly back to the support. Try to balance your pubic bone and tail bone so they’re equidistant from the floor.\n"" + ""Either stack your hands in your lap, palms up, or lay your hands on your knees, palms down. Lengthen your tail bone toward the floor, firm your shoulder blades against your back to you’re your upper torso, but don’t over arch your lower back and poke your lower front ribs forward.\n"" + ""You can sit in this position for any length of time, but if you practice this pose regularly, be sure to alternate the cross of the legs. A good rule of thumb: On even-numbered days, cross the right shin in front of the left, and on odd-numbered days, do the opposite. Alternately, you can divide the practice time in half, and spend the first half with your right leg forward, and the second half with the left leg forward.""",image/poseBeginning/easyPose.jpg,
Staff Pose,"<html><p>Sit on the floor with your legs together and extended in front of your torso. If your torso is leaning back, it may be because tight hamstrings are dragging the sitting bones toward the knees and the back of the pelvis toward the floor. It may be helpful to sit on a blanket or a bolster to lift the pelvis.</p> A simple way to check alignment is to sit with your back against a wall. The sacrum and the shoulder blades should touch the wall, but not lower back or the back of the head. Put a small rolled-up towel between the wall and the lower back.\n Sit towards the front of the sitting bones, and adjust the pubis and tail bone equidistant from the floor. Without hardening the belly, firm the thighs, press them down against the floor (or your support), rotate them slightly toward each other, and draw the inner groins toward the sacrum. Flex your ankles, pressing out through your heels.\n To lengthen your front torso perpendicular to the floor, think of energy streaming upward from the pubis to the sternum, then down the back from the shoulders to the tail bone. Then imagine the tail lengthening into the floor.\n Imagine your spine as the “staff” at the vertical core of your torso, rooted firmly in the Earth, the support and pivot of all you do. Hold the pose for one minute or longer.</html>",image/poseBeginning/staffPose.jpg,
Extended Puppy Pose,"""Come onto all fours. See that your shoulders are above your wrists and your hips are above your knees. Walk your hands forward a few inches and curl your toes under.\n"" + ""As you exhale, move your buttocks halfway back toward your heels. Keep your arms active; don’t let your elbows touch the ground.\n"" + ""Drop your forehead to the floor or to a blanket and let your neck relax. Keep a slight curve in your lower back. To feel a nice long stretch in your spine, press the hands down and stretch through the arms while pulling your hips back toward your heels.\n"" + ""Breathe into your back, feeling the spine lengthen in both directions. Hold for 30 seconds to a minute, then release your buttocks down onto your heels.""",image/poseBeginning/extendedPuppyPose.jpg,
Garland Pose,"""Squat with your feet as close together as possible. (Keep your heels on the floor if you can; otherwise, support them on a folded mat).\n"" + ""Separate your thighs slightly wider than your torso. Exhaling, lean your torso forward and fit it snugly between your thighs.\n"" + ""Press your elbows against your inner knees, bringing your palms to together in Anjali Mudra (Salutation Seal), and resist the knees into the elbows. This will help lengthen your front torso.\n"" + ""To go further, press your inner thighs against the sides of your torso. Reach your arms forward, then swing them out to the sides and notch your shins into your armpits. Press your finger tips to the floor, or reach around the outside of your ankles and clasp your back heels.\n"" + ""Hold the position for 30 seconds to 1 minute, then inhale, straighten the knees, and stand into Uttanasana.""",image/poseBeginning/garlandPose.jpg,
Cat Pose,"""Start on your hands and knees in a “tabletop” position. Make sure your knees are set directly below your hips and your wrists, elbows and shoulders are in line and perpendicular to the floor. Center your head in a neutral position, eyes looking at the floor.\n"" + ""As you exhale, round your spine toward the ceiling, making sure to keep your shoulders and knees in position. Release your head toward the floor, but don’t force your chin to your chest.\n"" + ""Inhale, coming back to neutral “tabletop” position on your hands and knees.\n""  + ""This pose is often paired with Cow Pose on the inhale for a gentle, flowing vinyasa.""",image/poseBeginning/catPose.jpg,
Sphinx Pose,"""Lie on your belly, legs side by side. Firm your tailbone toward your pubis and lengthen it toward your heels. Then, rotate your thighs inwardly by rolling your outer thighs toward the floor. This helps broaden and lengthen your lower back and sacrum (the downward-facing triangular bone at the back of your pelvis) to protect it in a back bend.\n"" + ""Reach actively through your toes to the wall behind you. As you move into the pose, be sure to continue lengthening your tail toward your heels to protect your lower back. Your buttocks should be firm but not clenched. While your legs are active, your tongue, eyes and brain should be quiet.\n"" + ""Now set your elbows under your shoulders and your forearms on the floor parallel to each other. Inhale and lift your upper torso and head away from the floor into a mild backbend.\n"" + ""The final step to building a solid foundation in Sphinx Pose is to bring awareness to your lower belly, the area just above the pubic bone and below the navel. Lightly draw it away from the floor to create a dome that rounds up toward your lower back. This is very subtle—no sucking in, hardening, or rigidity required. This belly lift supports and distributes the curvature of your backbend more evenly along the length of the spine, soothing your lower back and awakening your upper back.\n"" + ""Stay for five to 10 breaths, then exhale and slowly release your belly and lower your torso and head to the floor. Turn your head to one side. Lie quietly for a while, broadening your back with each inhale, and releasing any tension with each exhale. Repeat once or twice more if you like.""",image/poseBeginning/sphinxPose.jpg,
Warrior I Pose,"Learn the basics of this foundational yoga pose, Virabhadrasana I.",image/poseBeginning/warriorIPose.jpg,
Lion Pose,"Blow off some steam, wake up your face, and lighten up your practice in silly Simhasana.",image/poseBeginning/lionPose.jpg,Handstand
Gate Pose,Extend some love to your often neglected side body in Parighasana or Gate Pose.,image/poseBeginning/gatePose.jpg,Eagle Pose
Intense Side Stretch Pose,Intense Side Stretch Pose is done with the hands on the floor.,image/poseBeginning/intenseSideStretchPose.jpg,Side Plank Pose
Heron Pose,Heron Pose is an intense hamstring stretch. You may need to give Krounchasana some time.,image/poseBeginning/heronPose.jpg,Half Moon Pose
Locust Pose,"Salabhasana or Locust Pose effectively preps beginners for deeper backbends, strengthening the back of the torso, legs, and arms.",image/poseBeginning/locustPose.jpg,Revolved Triangle Pose
Fish Pose,"It is said that if you perform the fish pose in water, you will be able to float like a fish.",image/poseBeginning/fishPose.jpg,Marichi’s Pose
Extended Side Angle Pose,"Find length in your side body, from your heel to your fingertips with Extended Side Angle Pose.",image/poseBeginning/extendedSideAnglePose.jpg,Camel Pose
Wide-Legged Forward Bend,Open wide into Prasarita Padottanasana I to increase flexibility by leaps and bounds.,image/poseBeginning/wideLeggedForwardBend.jpg,Boat Pose
Legs-Up-the-Wall Pose,There’s a general consensus among modern yogis that Viparita Karani or Legs-Up-The-Wall Pose may have the power to cure whatever ails you.,image/poseBeginning/legsUpTheWallPose.jpg,Supported Headstand
Cow Face Pose,"Can’t see the cow face? Notice that the crossed legs look like the lips. The bent-elbow arms, one up and one down, are the ears.",image/poseBeginning/cowFacePose.jpg,Supported Shoulderstand
Wide-Angle Seated Forward Bend,"Upavistha Konasana is good preparation for most of the seated forward bends, twists, and the wide-leg standing poses.",image/poseBeginning/wideAngleSeatedForwardBend.jpg,Plow Pose
Reclining Bound Angle Pose,"A classic restorative posture, Supta Baddha Konasana or Reclining Bound Angle Pose can be modified for any level of hip and groin resistance.",image/poseBeginning/recliningBoundAnglePose.jpg,Upward-Facing Dog Pose
Hero Pose,"Virasana or Hero Pose is a balm for tired legs at the end of the day, as well as an alternative to Lotus for seated meditation.",image/poseBeginning/heroPose.jpg,Upward Bow (Wheel) Pose
Warrior II Pose,"Named for a fierce warrior, an incarnation of Shiva, this version of Warrior Pose increases stamina.",image/poseBeginning/warriorIIPose.jpg,Four-Limbed Staff Pose
Chair Pose,"Chair Pose clearly works the muscles of the arms and legs, but it also stimulates the diaphragm and heart.",image/poseBeginning/chairPose.jpg,Crane (Crow) Pose
Mountain Pose,"The foundation of all standing poses, Mountain Pose makes a great a starting position, resting pose, or tool to improve posture.",image/poseBeginning/mountainPose.jpg,
Bharadvaja's Twist,This gentle twist is a tonic for the spine and the abdominal organs.,image/poseBeginning/bharadvajaTwist.jpg,
Half Lord of the Fishes Pose,Half Lord of the Fishes pose energizes the spine and stimulates the digestive fire.,image/poseBeginning/halfLordOfTheFishesPose.jpg,
Salutation Seal,Practicing Anjali Mudra is an excellent way to induce a meditative state of awareness.,image/poseBeginning/salutationSeal.jpg,
Corpse Pose,Savasana is a pose of total relaxation—making it one of the most challenging.,image/poseBeginning/corpsePose.jpg,
Standing Forward Bend,Uttanasana will wake up your hamstrings and soothe your mind.,image/poseBeginning/standingForwardBend.jpg,
Seated Forward Bend,Fold into Paschimottanasana to help a distracted mind—and your hamstrings—unwind.,image/poseBeginning/seatedForwardBend.jpg,
Child's Pose,Take a break. Balasana is a restful pose that can be sequenced between more challenging asanas.,image/poseBeginning/childPose.jpg,
Bridge Pose,"Bridge Pose can be whatever you need—energizing, rejuvenating, or luxuriously restorative.",image/poseBeginning/bridgePose.jpg,
Cobra Pose,Open the heart and roll the shoulders down to promote flexibility in Cobra Pose.,image/poseBeginning/cobraPose.jpg,
